Comment ID,Comment Text,Sentiment
68,The product quality is poor and the experience has been frustrating from the beginning.,Negative
69,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
70,The product quality is poor and the experience has been frustrating from the beginning.,Negative
71,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
72,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
73,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
74,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
75,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
76,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
77,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
78,The product quality is poor and the experience has been frustrating from the beginning.,Negative
79,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
80,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
81,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
82,The product quality is poor and the experience has been frustrating from the beginning.,Negative
83,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
84,The product quality is poor and the experience has been frustrating from the beginning.,Negative
85,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
86,The product quality is poor and the experience has been frustrating from the beginning.,Negative
87,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
88,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
89,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
90,The product quality is poor and the experience has been frustrating from the beginning.,Negative
91,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
92,The product quality is poor and the experience has been frustrating from the beginning.,Negative
93,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
94,The product quality is poor and the experience has been frustrating from the beginning.,Negative
95,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
96,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
97,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
98,The product quality is poor and the experience has been frustrating from the beginning.,Negative
99,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
100,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
101,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
102,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
103,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
104,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
105,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
106,The product quality is poor and the experience has been frustrating from the beginning.,Negative
107,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
108,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
109,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
110,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
111,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
112,The product quality is poor and the experience has been frustrating from the beginning.,Negative
113,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
114,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
115,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
116,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
117,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
118,The product quality is poor and the experience has been frustrating from the beginning.,Negative
119,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
120,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
121,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
122,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
123,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
124,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
125,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
126,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
127,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
128,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
129,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
130,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
131,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
132,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
133,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
134,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
135,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
136,The product quality is poor and the experience has been frustrating from the beginning.,Negative
137,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
138,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
139,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
140,The product quality is poor and the experience has been frustrating from the beginning.,Negative
141,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
142,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
143,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
144,The product quality is poor and the experience has been frustrating from the beginning.,Negative
145,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
146,The product quality is poor and the experience has been frustrating from the beginning.,Negative
147,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
148,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
149,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
150,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
151,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
152,The product quality is poor and the experience has been frustrating from the beginning.,Negative
153,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
154,The product quality is poor and the experience has been frustrating from the beginning.,Negative
155,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
156,The product quality is poor and the experience has been frustrating from the beginning.,Negative
157,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
158,The product quality is poor and the experience has been frustrating from the beginning.,Negative
159,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
160,The product quality is poor and the experience has been frustrating from the beginning.,Negative
161,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
162,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
163,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
164,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
165,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
166,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
167,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
168,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
169,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
170,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
171,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
172,The product quality is poor and the experience has been frustrating from the beginning.,Negative
173,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
174,The product quality is poor and the experience has been frustrating from the beginning.,Negative
175,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
176,The product quality is poor and the experience has been frustrating from the beginning.,Negative
177,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
178,The product quality is poor and the experience has been frustrating from the beginning.,Negative
179,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
180,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
181,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
182,The product quality is poor and the experience has been frustrating from the beginning.,Negative
183,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
184,The product quality is poor and the experience has been frustrating from the beginning.,Negative
185,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
186,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
187,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
188,The product quality is poor and the experience has been frustrating from the beginning.,Negative
189,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
190,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
191,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
192,The product quality is poor and the experience has been frustrating from the beginning.,Negative
193,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
194,The product quality is poor and the experience has been frustrating from the beginning.,Negative
195,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
196,The product quality is poor and the experience has been frustrating from the beginning.,Negative
197,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
198,The product quality is poor and the experience has been frustrating from the beginning.,Negative
199,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
200,The product quality is poor and the experience has been frustrating from the beginning.,Negative
201,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
202,The product quality is poor and the experience has been frustrating from the beginning.,Negative
203,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
204,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
205,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
206,The product quality is poor and the experience has been frustrating from the beginning.,Negative
207,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
208,The product quality is poor and the experience has been frustrating from the beginning.,Negative
209,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
210,The product quality is poor and the experience has been frustrating from the beginning.,Negative
211,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
212,The product quality is poor and the experience has been frustrating from the beginning.,Negative
213,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
214,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
215,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
216,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
217,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
218,The product quality is poor and the experience has been frustrating from the beginning.,Negative
219,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
220,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
221,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
222,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
223,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
224,The product quality is poor and the experience has been frustrating from the beginning.,Negative
225,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
226,The product quality is poor and the experience has been frustrating from the beginning.,Negative
227,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
228,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
229,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
230,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
231,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
232,The product quality is poor and the experience has been frustrating from the beginning.,Negative
233,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
234,The product quality is poor and the experience has been frustrating from the beginning.,Negative
235,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
236,The product quality is poor and the experience has been frustrating from the beginning.,Negative
237,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
238,The product quality is poor and the experience has been frustrating from the beginning.,Negative
239,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
240,The product quality is poor and the experience has been frustrating from the beginning.,Negative
241,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
242,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
243,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
244,The product quality is poor and the experience has been frustrating from the beginning.,Negative
245,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
246,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
247,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
248,The product quality is poor and the experience has been frustrating from the beginning.,Negative
249,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
250,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
251,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
252,The product quality is poor and the experience has been frustrating from the beginning.,Negative
253,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
254,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
255,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
256,The product quality is poor and the experience has been frustrating from the beginning.,Negative
257,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
258,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
259,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
260,The product quality is poor and the experience has been frustrating from the beginning.,Negative
261,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
262,The product quality is poor and the experience has been frustrating from the beginning.,Negative
263,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
264,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
265,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
266,The product quality is poor and the experience has been frustrating from the beginning.,Negative
267,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
268,The product quality is poor and the experience has been frustrating from the beginning.,Negative
269,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
270,The product quality is poor and the experience has been frustrating from the beginning.,Negative
271,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
272,The product quality is poor and the experience has been frustrating from the beginning.,Negative
273,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
274,The product quality is poor and the experience has been frustrating from the beginning.,Negative
275,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
276,The product quality is poor and the experience has been frustrating from the beginning.,Negative
277,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
278,The product quality is poor and the experience has been frustrating from the beginning.,Negative
279,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
280,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
281,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
282,The product quality is poor and the experience has been frustrating from the beginning.,Negative
283,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
284,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
285,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
286,The product quality is poor and the experience has been frustrating from the beginning.,Negative
287,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
288,The product quality is poor and the experience has been frustrating from the beginning.,Negative
289,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
290,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
291,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
292,The product quality is poor and the experience has been frustrating from the beginning.,Negative
293,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
294,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
295,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
296,The product quality is poor and the experience has been frustrating from the beginning.,Negative
297,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
298,The product quality is poor and the experience has been frustrating from the beginning.,Negative
299,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
300,The product quality is poor and the experience has been frustrating from the beginning.,Negative
301,Nice experience overall.,Positive
302,Needs improvement.,Negative
303,Nice experience overall.,Positive
304,App crashes sometimes.,Negative
305,"Really liked it, very useful.",Positive
306,Not a good experience.,Negative
307,Nice experience overall.,Positive
308,Needs improvement.,Negative
309,"Really liked it, very useful.",Positive
310,Needs improvement.,Negative
311,Nice experience overall.,Positive
312,App crashes sometimes.,Negative
313,"Good app, works smoothly.",Positive
314,Not a good experience.,Negative
315,"Good app, works smoothly.",Positive
316,App crashes sometimes.,Negative
317,Nice experience overall.,Positive
318,Not a good experience.,Negative
319,"Really liked it, very useful.",Positive
320,Needs improvement.,Negative
321,"Really liked it, very useful.",Positive
322,Needs improvement.,Negative
323,"Really liked it, very useful.",Positive
324,App crashes sometimes.,Negative
325,Nice experience overall.,Positive
326,App crashes sometimes.,Negative
327,Nice experience overall.,Positive
328,Needs improvement.,Negative
329,Nice experience overall.,Positive
330,Needs improvement.,Negative
331,"Really liked it, very useful.",Positive
332,App crashes sometimes.,Negative
333,Nice experience overall.,Positive
334,Needs improvement.,Negative
335,"Good app, works smoothly.",Positive
336,Not a good experience.,Negative
337,"Really liked it, very useful.",Positive
338,App crashes sometimes.,Negative
339,Nice experience overall.,Positive
340,Not a good experience.,Negative
341,Nice experience overall.,Positive
342,Not a good experience.,Negative
343,"Good app, works smoothly.",Positive
344,App crashes sometimes.,Negative
345,"Really liked it, very useful.",Positive
346,App crashes sometimes.,Negative
347,Nice experience overall.,Positive
348,Needs improvement.,Negative
349,"Good app, works smoothly.",Positive
350,Not a good experience.,Negative
351,"Good app, works smoothly.",Positive
352,App crashes sometimes.,Negative
353,"Really liked it, very useful.",Positive
354,Not a good experience.,Negative
355,"Good app, works smoothly.",Positive
356,Needs improvement.,Negative
357,Nice experience overall.,Positive
358,App crashes sometimes.,Negative
359,"Really liked it, very useful.",Positive
360,Needs improvement.,Negative
361,"Good app, works smoothly.",Positive
362,Needs improvement.,Negative
363,Nice experience overall.,Positive
364,Not a good experience.,Negative
365,Nice experience overall.,Positive
366,App crashes sometimes.,Negative
367,Nice experience overall.,Positive
368,Needs improvement.,Negative
369,"Really liked it, very useful.",Positive
370,Not a good experience.,Negative
371,"Good app, works smoothly.",Positive
372,Not a good experience.,Negative
373,"Really liked it, very useful.",Positive
374,Not a good experience.,Negative
375,"Good app, works smoothly.",Positive
376,App crashes sometimes.,Negative
377,"Good app, works smoothly.",Positive
378,App crashes sometimes.,Negative
379,"Really liked it, very useful.",Positive
380,App crashes sometimes.,Negative
381,Nice experience overall.,Positive
382,App crashes sometimes.,Negative
383,"Good app, works smoothly.",Positive
384,App crashes sometimes.,Negative
385,"Really liked it, very useful.",Positive
386,Not a good experience.,Negative
387,"Really liked it, very useful.",Positive
388,App crashes sometimes.,Negative
389,"Really liked it, very useful.",Positive
390,Not a good experience.,Negative
391,Nice experience overall.,Positive
392,Not a good experience.,Negative
393,Nice experience overall.,Positive
394,App crashes sometimes.,Negative
395,"Good app, works smoothly.",Positive
396,App crashes sometimes.,Negative
397,"Good app, works smoothly.",Positive
398,Not a good experience.,Negative
399,"Good app, works smoothly.",Positive
400,App crashes sometimes.,Negative
401,Nice experience overall.,Positive
402,App crashes sometimes.,Negative
403,Nice experience overall.,Positive
404,Not a good experience.,Negative
405,Nice experience overall.,Positive
406,Needs improvement.,Negative
407,"Good app, works smoothly.",Positive
408,App crashes sometimes.,Negative
409,"Good app, works smoothly.",Positive
410,App crashes sometimes.,Negative
411,"Good app, works smoothly.",Positive
412,Not a good experience.,Negative
413,"Really liked it, very useful.",Positive
414,Needs improvement.,Negative
415,"Really liked it, very useful.",Positive
416,App crashes sometimes.,Negative
417,"Really liked it, very useful.",Positive
418,Not a good experience.,Negative
419,"Good app, works smoothly.",Positive
420,Not a good experience.,Negative
421,Nice experience overall.,Positive
422,Needs improvement.,Negative
423,"Good app, works smoothly.",Positive
424,Not a good experience.,Negative
425,"Really liked it, very useful.",Positive
426,App crashes sometimes.,Negative
427,"Really liked it, very useful.",Positive
428,Needs improvement.,Negative
429,Nice experience overall.,Positive
430,App crashes sometimes.,Negative
431,Nice experience overall.,Positive
432,App crashes sometimes.,Negative
433,"Good app, works smoothly.",Positive
434,App crashes sometimes.,Negative
435,"Really liked it, very useful.",Positive
436,App crashes sometimes.,Negative
437,Nice experience overall.,Positive
438,Not a good experience.,Negative
439,"Really liked it, very useful.",Positive
440,Needs improvement.,Negative
441,"Good app, works smoothly.",Positive
442,Not a good experience.,Negative
443,"Good app, works smoothly.",Positive
444,Not a good experience.,Negative
445,Nice experience overall.,Positive
446,Needs improvement.,Negative
447,"Really liked it, very useful.",Positive
448,Not a good experience.,Negative
449,"Really liked it, very useful.",Positive
450,Needs improvement.,Negative
451,"Good app, works smoothly.",Positive
452,Not a good experience.,Negative
453,"Good app, works smoothly.",Positive
454,Not a good experience.,Negative
455,"Good app, works smoothly.",Positive
456,Needs improvement.,Negative
457,Nice experience overall.,Positive
458,Needs improvement.,Negative
459,"Good app, works smoothly.",Positive
460,Needs improvement.,Negative
461,"Good app, works smoothly.",Positive
462,Not a good experience.,Negative
463,"Good app, works smoothly.",Positive
464,Needs improvement.,Negative
465,"Really liked it, very useful.",Positive
466,Needs improvement.,Negative
467,Nice experience overall.,Positive
468,Not a good experience.,Negative
469,"Really liked it, very useful.",Positive
470,Not a good experience.,Negative
471,Nice experience overall.,Positive
472,Not a good experience.,Negative
473,"Good app, works smoothly.",Positive
474,Not a good experience.,Negative
475,"Good app, works smoothly.",Positive
476,Not a good experience.,Negative
477,"Good app, works smoothly.",Positive
478,Needs improvement.,Negative
479,Nice experience overall.,Positive
480,App crashes sometimes.,Negative
481,"Really liked it, very useful.",Positive
482,Not a good experience.,Negative
483,"Good app, works smoothly.",Positive
484,Not a good experience.,Negative
485,"Good app, works smoothly.",Positive
486,Not a good experience.,Negative
487,Nice experience overall.,Positive
488,App crashes sometimes.,Negative
489,"Really liked it, very useful.",Positive
490,Not a good experience.,Negative
491,Nice experience overall.,Positive
492,Needs improvement.,Negative
493,"Really liked it, very useful.",Positive
494,App crashes sometimes.,Negative
495,"Really liked it, very useful.",Positive
496,App crashes sometimes.,Negative
497,"Good app, works smoothly.",Positive
498,Not a good experience.,Negative
499,"Really liked it, very useful.",Positive
500,Needs improvement.,Negative
501,"Really liked it, very useful.",Positive
502,Needs improvement.,Negative
503,"Really liked it, very useful.",Positive
504,App crashes sometimes.,Negative
505,"Really liked it, very useful.",Positive
506,Needs improvement.,Negative
507,"Good app, works smoothly.",Positive
508,Needs improvement.,Negative
509,"Really liked it, very useful.",Positive
510,Needs improvement.,Negative
511,Nice experience overall.,Positive
512,Needs improvement.,Negative
513,Nice experience overall.,Positive
514,App crashes sometimes.,Negative
515,"Really liked it, very useful.",Positive
516,App crashes sometimes.,Negative
517,"Good app, works smoothly.",Positive
518,Not a good experience.,Negative
519,Nice experience overall.,Positive
520,App crashes sometimes.,Negative
521,"Really liked it, very useful.",Positive
